TeamID,EventCode
ACU1,RE-VURC-25-0152
AUBIE2,RE-VURC-25-0152
BISON1,RE-VURC-25-3063
BISON1,RE-VURC-25-3330
CLNKR,RE-VURC-25-3063
CYBER,RE-VURC-25-3330
ETAMU,RE-VURC-25-0152
FOUR4,RE-VURC-25-0152
ILLIN1,RE-VURC-25-0152
ILLIN1,RE-VURC-25-3063
ILLIN2,RE-VURC-25-0152
INTRT,RE-VURC-25-0152
INTRT,RE-VURC-25-3063
INTRT,RE-VURC-25-3330
JACKS,RE-VURC-25-0152
JACKS,RE-VURC-25-3063
JACKS,RE-VURC-25-3330
JHAWK,RE-VURC-25-0152
JHAWK,RE-VURC-25-3063
JHAWK,RE-VURC-25-0292
KGEAR,RE-VURC-25-0152
KGEAR,RE-VURC-25-3330
MINES,RE-VURC-25-3063
MINES,RE-VURC-25-3330
MTG7,RE-VURC-25-0152
ORDGR,RE-VURC-25-0152
ORDGR,RE-VURC-25-3063
RVRSE,RE-VURC-25-3330
SKERS,RE-VURC-25-0152
SKERS,RE-VURC-25-3063
SYSTM,RE-VURC-25-0292
TNTN,RE-VURC-25-0292
UMN,RE-VURC-25-3063
UMN,RE-VURC-25-3330
UND,RE-VURC-25-3330
WCOE,RE-VURC-25-0152